OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,Shape__Area,Shape__Length
22142,2007,CA,CDF,LNU,ARMSTRONG,00004306,6/27/2007 12:00:00 AM,6/27/2007 12:00:00 AM,7,6,1,24.25039,,,,,00000000,2000,160752.38671875,1632.82831417868
22143,2007,CA,CDF,MEU,CLARK,00005592,7/28/2007 12:00:00 AM,7/28/2007 12:00:00 AM,10,2,1,46.99129,,,,,00005592,2000,320674.9296875,2336.44681472701
22144,2007,CA,CDF,NEU,AUBURN,00012946,6/23/2007 12:00:00 AM,6/23/2007 12:00:00 AM,7,1,1,20.99044,,,,,00000000,2000,140277.44921875,1773.65438559605
22145,2007,CA,LRA,NEU,PRAIRIE,00013431,6/28/2007 12:00:00 AM,6/28/2007 12:00:00 AM,7,1,1,72.23045,,,,,00000000,2000,483238.62890625,3304.80669514543
22146,2007,CA,CDF,NEU,GARDEN,00021981,10/7/2007 12:00:00 AM,10/7/2007 12:00:00 AM,2,1,1,146.0327,,,,,00000000,2000,980591.30859375,4647.95176528298
22147,2007,CA,LRA,NEU,PHILLIPS,00015109,7/16/2007 12:00:00 AM,7/16/2007 12:00:00 AM,2,1,1,935.632,Roseville City (CARSV5433)fire that burnt into Sched A DPA,,,,00000000,2000,6244986.5,16708.6012804386
22148,2007,CA,LRA,NEU,SOUTH BEALE,00023109,10/23/2007 12:00:00 AM,10/23/2007 12:00:00 AM,6,1,1,194.8853,Threat to SRA & FRA,,,,00000000,2000,1309936.93359375,5535.79367190462
22149,2007,CA,CDF,NEU,SPENCEVILLE,00017628,8/15/2007 12:00:00 AM,8/15/2007 12:00:00 AM,14,1,1,31.35009,,,,,00000000,2000,211021.8515625,2663.28938150147
22150,2007,CA,CDF,NEU,VALLEY,00014224,7/6/2007 12:00:00 AM,7/6/2007 12:00:00 AM,7,1,1,69.97617,,,,,00000000,2000,469546.5859375,2881.92378411387
22151,2007,CA,CDF,NEU,LOMA RICA /  LA PORTE ,00016982,8/7/2007 12:00:00 AM,8/7/2007 12:00:00 AM,7,1,1,10.32569,,,,,00000000,2000,70145.08984375,1364.93403385664
22152,2007,CA,CDF,NEU,WALDO 2,00019650,9/7/2007 12:00:00 AM,9/7/2007 12:00:00 AM,7,1,1,38.74841,,,,,00000000,2000,261083.07421875,3882.0828503525
22153,2007,CA,CDF,NEU,WALDO,00012873,6/22/2007 12:00:00 AM,6/22/2007 12:00:00 AM,2,1,1,16.19337,,,,,00000000,2000,109079.72265625,1365.11853994258
22154,2007,CA,USF,TMU,WASHOE,00000038,8/18/2007 12:00:00 AM,8/18/2007 12:00:00 AM,9,1,1,19.81334,"TMU DPA, AEU dispatch, but falls within NEU",,,,00000038,2000,133495.19921875,2028.64950769688
22155,2007,CA,CDF,NEU,WILSON,00007290,4/9/2007 12:00:00 AM,4/9/2007 12:00:00 AM,5,1,1,10.57157,,,,,00000000,2000,70933.00390625,1208.51653896223
22156,2007,CA,LRA,NEU,BASELINE,00020991,9/24/2007 12:00:00 AM,9/24/2007 12:00:00 AM,14,1,1,13.97688,,,,,00000000,2000,93129.64453125,2123.44056819142
22157,2007,CA,CDF,RRU,ALESSANDRO,00019979,3/4/2007 12:00:00 AM,3/4/2007 12:00:00 AM,14,7,1,860.0874,,,,,00000000,2000,5068985.99609375,12338.2835314592
22158,2007,CA,CDF,RRU,STRAW,00007466,12/3/2007 12:00:00 AM,12/3/2007 12:00:00 AM,14,7,1,42.57693,,,,,00000000,2000,250193.65625,1959.92430533539
22159,2007,CA,CDF,RRU,SIERRA,00022254,3/11/2007 12:00:00 AM,3/12/2007 12:00:00 AM,14,7,1,777.514,,,,,00000000,2000,4572440.625,11924.9633677743
22160,2007,CA,CDF,SCU,LICK,00005214,9/3/2007 12:00:00 AM,9/15/2007 12:00:00 AM,5,2,1,47748.27,,,,,00000000,2000,305304751.011719,112954.127342282
22161,2007,CA,CDF,SCU,STEVENS,00005123,8/30/2007 12:00:00 AM,9/9/2007 12:00:00 AM,11,2,1,166.155,,,,,00000000,2000,1064077.953125,4965.38634721078
22162,2007,CA,CDF,SHU,POWER,00005201,7/10/2007 12:00:00 AM,7/12/2007 12:00:00 AM,14,6,1,919.1995,Power Incident (FIRE_NAME would not accept input),,,,00000000,2000,6540824.734375,12447.9785611981
22163,2007,CA,CDF,SHU,HATCHET,00006356,8/13/2007 12:00:00 AM,8/14/2007 12:00:00 AM,2,1,1,11.32679,Hatchet Incident (FIRE_NAME would not accept input) WITH SPOT,,,,00000000,2000,80238.21484375,1722.04334539857
22164,2007,CA,CDF,SHU,SILVER,00004394,6/17/2007 12:00:00 AM,6/17/2007 12:00:00 AM,2,1,1,110.625,Silver Incident (FIRE_NAME would not accept input),,,,00000000,2000,775780.4296875,5590.5816368756
22165,2007,CA,CDF,SHU,CLEAR,00004778,6/29/2007 12:00:00 AM,6/29/2007 12:00:00 AM,7,1,1,176.6712,Total acreage was 188 but only 47 acres was on BLM land.,,,,00000000,2000,1237867.21484375,6114.94818634776
22166,2007,CA,CDF,SKU,WEED ,SKU03705,8/6/2007 12:00:00 AM,8/6/2007 12:00:00 AM,4,1,1,53.96681,ABANDON CAMP FIRE,,,,00000000,2000,388816.75,4012.45059647646
22167,2007,CA,CDF,SKU,SECERT,SKU03160,7/11/2007 12:00:00 AM,7/12/2007 12:00:00 AM,1,1,1,210.9111,LIGHTNING,,,,00000000,2000,1544870.671875,7378.32192036052
22168,2007,CA,CDF,SKU,BEAR,0SKU3868,8/13/2007 12:00:00 AM,8/18/2007 12:00:00 AM,2,1,1,840.8372,HOT-SAW USE,,,,00000000,2000,6033168.62890625,17887.6347747096
22169,2007,CA,CDF,SKU,FALL,SKU02531,6/13/2007 12:00:00 AM,6/13/2007 12:00:00 AM,5,1,1,14.37599,ESCAPE CONTROL BURN,,,,00000000,2000,105405.109375,1475.6020071292
22170,2007,CA,CDF,SKU,BRAZIE,SKU00336,1/25/2007 12:00:00 AM,1/25/2007 12:00:00 AM,5,1,1,5.748158,ESCAPE CONTROL BURN,,,,00000000,2000,41725.97265625,921.79893816371
22171,2007,CA,CDF,SKU,GIRARD,0SKU5166,10/23/2007 12:00:00 AM,10/23/2007 12:00:00 AM,5,1,1,13.89543,ESCAPE CONTROL BURN,,,,00000000,2000,99498.21875,1582.78234735257
22172,2007,CA,CDF,SKU,OKLAHOMA,0SKU3215,7/12/2007 12:00:00 AM,7/12/2007 12:00:00 AM,1,6,1,30.41293,Lightning,,,,00000000,2000,222165.140625,2404.82587737818
22173,2007,CA,CDF,SKU,REYNOLDS,0SKU3501,7/27/2007 12:00:00 AM,7/27/2007 12:00:00 AM,2,1,1,16.67489,CHOP-SAW USE,,,,00000000,2000,120869.015625,1522.33067865628
22174,2007,CA,CDF,SLU,RYAN,00000371,1/15/2007 12:00:00 AM,1/15/2007 12:00:00 AM,5,1,1,15.01484,,,,,00000000,2000,91856.69921875,1884.51897493087
22175,2007,CA,CDF,SLU,ODONOVAN,00003280,5/7/2007 12:00:00 AM,5/7/2007 12:00:00 AM,2,1,1,45.85566,,,,,00000000,2000,280731.23828125,2762.69282761009
22176,2007,CA,CDF,SLU,CUESTA,00003363,5/10/2007 12:00:00 AM,5/10/2007 12:00:00 AM,2,1,1,44.71153,,,,,00000000,2000,272477.35546875,3353.27764209844
22177,2007,CA,CDF,SLU,BITTER,00003722,5/22/2007 12:00:00 AM,5/22/2007 12:00:00 AM,14,1,1,26.07638,,,,,00000000,2000,159093.890625,2644.44899910103
22178,2007,CA,CDF,SLU,CAL POLY,00004852,6/30/2007 12:00:00 AM,6/30/2007 12:00:00 AM,8,1,1,45.71973,,,,,00000000,2000,278402.5078125,2805.77914154648
22179,2007,CA,CDF,SLU,JOHNSON,00005884,8/1/2007 12:00:00 AM,8/1/2007 12:00:00 AM,11,1,1,13.12521,,,,,00000000,2000,79882.69921875,1991.78182030528
22180,2007,CA,CDF,SLU,ADELADIA,00004917,8/1/2007 12:00:00 AM,8/1/2007 12:00:00 AM,2,1,1,16.18213,,,,,00000000,2000,99457.765625,2273.27349930107
22181,2007,CA,CDF,SLU,CUESTA 2,00006403,8/19/2007 12:00:00 AM,8/19/2007 12:00:00 AM,2,1,1,16.54518,,,,,00000000,2000,100894.77734375,1679.33671957782
22182,2007,CA,CDF,SLU,RANCH,00006509,8/23/2007 12:00:00 AM,8/23/2007 12:00:00 AM,14,1,1,12.77974,,,,,00000000,2000,78548.1796875,1711.15009290944
